Model	Type	Emb	Run	TrainAcc	TrainF1	EvalAcc	EvalF1	aqz	urb	mpu	myu
upos3	upos	multi+3	1	0.8801	0.6783	0.4519	0.1884	0.5172	0.4208	0.3836	0.4457
upos3	upos	multi+3	2	0.8621	0.6464	0.4491	0.1911	0.5074	0.388	0.3562	0.4638
upos3	upos	multi+3	3	0.8621	0.6049	0.4581	0.2152	0.5049	0.4153	0.3288	0.4771
upos3	upos	multi+3	4	0.8549	0.6456	0.484	0.2091	0.4657	0.4454	0.3356	0.4867
upos3	upos	multi+3	5	0.8561	0.6238	0.4514	0.1939	0.4755	0.429	0.3699	0.4638
upos3	upos	tupi-3	1	0.82	0.665	0.462	0.186	0.485	0.448	0.356	0.475
upos3	upos	tupi-3	2	0.808	0.647	0.453	0.18	0.468	0.42	0.328	0.48
upos3	upos	tupi-3	3	0.8141	0.647	0.4359	0.1788	0.4779	0.429	0.3356	0.436
upos3	upos	tupi-3	4	0.8118	0.6585	0.4508	0.1861	0.4706	0.4536	0.3288	0.4614
upos3	upos	tupi-3	5	0.8297	0.6094	0.4559	0.1905	0.4632	0.4563	0.3699	0.4674
multi	upos	NA	NA	NA	NA	0.3272	0.1341	0.3848	0.235	0.226	0.3575
upos3+aqz	upos	multi+3	1	0.5566	0.3066	0.48	0.1953	0.5392	0.4044	0.3151	0.5133
upos3+aqz	upos	multi+3	2	0.566	0.3133	0.4748	0.1953	0.5368	0.3962	0.3219	0.506
upos3+aqz	upos	multi+3	3	0.5566	0.3097	0.4708	0.1937	0.5294	0.388	0.3356	0.5024
upos3+aqz	upos	multi+3	4	0.5566	0.3063	0.4823	0.193	0.5417	0.4016	0.3219	0.5169
upos3+aqz	upos	multi+3	5	0.5566	0.3097	0.4714	0.1955	0.4368	0.388	0.3219	0.5024
upos3+myu	upos	multi+3	1	0.5508	0.2219	0.4748	0.189	0.5049	0.3789	0.3288	0.5278
upos3+myu	upos	multi+3	2	0.5668	0.2223	0.4931	0.1923	0.5196	0.4071	0.3151	0.5495
upos3+myu	upos	multi+3	3	0.5615	0.2218	0.4828	0.1924	0.5147	0.3907	0.3219	0.5362
upos3+myu	upos	multi+3	4	0.5455	0.2189	0.4743	0.1893	0.5098	0.3825	0.3825	0.5254
upos3+myu	upos	multi+3	5	0.5455	0.2199	0.4771	0.1906	0.5123	0.3825	0.3288	0.5278
arr	upos	ind	1	0.8615	0.7509	0.2958	0.0996	0.3407	0.2432	0.3973	0.279
arr	upos	ind	2	0.8359	0.6695	0.3181	0.1052	0.3554	0.2295	0.3493	0.3333
arr	upos	ind	3	0.8564	0.6799	0.3112	0.1324	0.3946	0.2541	0.3493	0.2886
arr	upos	ind	4	0.8256	0.6241	0.278	0.0848	0.3186	0.2459	0.3356	0.2621
arr	upos	ind	5	0.8154	0.6706	0.3015	0.0866	0.326	0.2158	0.3562	0.3176
gub	upos	ind	1	0.9088	0.7899	0.4548	0.1746	0.4853	0.4126	0.2877	0.4879
gub	upos	ind	2	0.9142	0.7179	0.4502	0.1833	0.4706	0.4016	0.274	0.4928
gub	upos	ind	3	0.9169	0.7881	0.4422	0.1884	0.4289	0.4262	0.2877	0.4831
gub	upos	ind	4	0.9035	0.7431	0.4388	0.1927	0.424	0.4126	0.3356	0.4758
gub	upos	ind	5	0.9008	0.776	0.4319	0.1912	0.4387	0.4071	0.2808	0.4662
tpn	upos	ind	1	0.8759	0.8282	0.4239	0.1796	0.4265	0.347	0.2877	0.4807
tpn	upos	ind	2	0.8684	0.8126	0.4125	0.1773	0.4191	0.3333	0.2397	0.4746
tpn	upos	ind	3	0.8698	0.8075	0.4228	0.1657	0.4363	0.3579	0.2397	0.4771
tpn	upos	ind	4	0.8609	0.7947	0.4411	0.165	0.4387	0.3497	0.2329	0.5193
tpn	upos	ind	5	0.8647	0.811	0.4193	0.1729	0.4191	0.3361	0.2603	0.4843
